date, Births per 1000 People, Annual % Change
1950-12-31,26.127
1951-12-31,25.902,-0.86
1952-12-31,25.678,-0.86
1953-12-31,25.453,-0.88
1954-12-31,25.228,-0.88
1955-12-31,25.004,-0.89
1956-12-31,24.779,-0.9
1957-12-31,24.555,-0.9
1958-12-31,24.33,-0.92
1959-12-31,24.128,-0.83
1960-12-31,23.926,-0.84
1961-12-31,23.725,-0.84
1962-12-31,23.523,-0.85
1963-12-31,23.321,-0.86
1964-12-31,23.217,-0.45
1965-12-31,23.113,-0.45
1966-12-31,23.009,-0.45
1967-12-31,22.905,-0.45
1968-12-31,22.801,-0.45
1969-12-31,22.986,0.81
1970-12-31,23.171,0.8
1971-12-31,23.357,0.8
1972-12-31,23.542,0.79
1973-12-31,23.727,0.79
1974-12-31,24.108,1.61
1975-12-31,24.488,1.58
1976-12-31,24.869,1.56
1977-12-31,25.249,1.53
1978-12-31,25.63,1.51
1979-12-31,25.183,-1.74
1980-12-31,24.736,-1.78
1981-12-31,24.288,-1.81
1982-12-31,23.841,-1.84
1983-12-31,23.394,-1.87
1984-12-31,23.229,-0.71
1985-12-31,23.064,-0.71
1986-12-31,22.899,-0.72
1987-12-31,22.734,-0.72
1988-12-31,22.569,-0.73
1989-12-31,22.406,-0.72
1990-12-31,22.243,-0.73
1991-12-31,22.081,-0.73
1992-12-31,21.918,-0.74
1993-12-31,21.755,-0.74
1994-12-31,21.404,-1.61
1995-12-31,21.053,-1.64
1996-12-31,20.703,-1.66
1997-12-31,20.352,-1.7
1998-12-31,20.001,-1.72
1999-12-31,19.83,-0.85
2000-12-31,19.659,-0.86
2001-12-31,19.488,-0.87
2002-12-31,19.317,-0.88
2003-12-31,19.146,-0.89
2004-12-31,18.994,-0.79
2005-12-31,18.842,-0.8
2006-12-31,18.69,-0.81
2007-12-31,18.538,-0.81
2008-12-31,18.386,-0.82
2009-12-31,18.292,-0.51
2010-12-31,18.198,-0.51
2011-12-31,18.103,-0.52
2012-12-31,18.009,-0.52
2013-12-31,17.915,-0.52
2014-12-31,17.754,-0.9
2015-12-31,17.594,-0.9
2016-12-31,17.433,-0.92
2017-12-31,17.273,-0.92
2018-12-31,17.112,-0.93
2019-12-31,16.924,-1.1
2020-12-31,16.736,-1.11
2021-12-31,16.548,-1.12
2022-12-31,16.36,-1.14
2023-12-31,16.172,-1.15
2024-12-31,16.009,-1.01
2025-12-31,15.845,-1.02
2026-12-31,15.682,-1.03
2027-12-31,15.518,-1.05
2028-12-31,15.355,-1.05
2029-12-31,15.199,-1.02
2030-12-31,15.043,-1.03
2031-12-31,14.888,-1.03
2032-12-31,14.732,-1.05
2033-12-31,14.576,-1.06
2034-12-31,14.444,-0.91
2035-12-31,14.312,-0.91
2036-12-31,14.18,-0.92
2037-12-31,14.048,-0.93
2038-12-31,13.916,-0.94
2039-12-31,13.795,-0.87
2040-12-31,13.674,-0.88
2041-12-31,13.552,-0.89
2042-12-31,13.431,-0.89
2043-12-31,13.31,-0.9
2044-12-31,13.205,-0.79
2045-12-31,13.1,-0.8
2046-12-31,12.995,-0.8
2047-12-31,12.89,-0.81
2048-12-31,12.785,-0.81
2049-12-31,12.686,-0.77
2050-12-31,12.587,-0.78
2051-12-31,12.489,-0.78
2052-12-31,12.39,-0.79
2053-12-31,12.291,-0.8
2054-12-31,12.197,-0.76
2055-12-31,12.103,-0.77
2056-12-31,12.009,-0.78
2057-12-31,11.915,-0.78
2058-12-31,11.821,-0.79
2059-12-31,11.74,-0.69
2060-12-31,11.66,-0.68
2061-12-31,11.579,-0.69
2062-12-31,11.499,-0.69
2063-12-31,11.418,-0.7
2064-12-31,11.346,-0.63
2065-12-31,11.275,-0.63
2066-12-31,11.203,-0.64
2067-12-31,11.132,-0.63
2068-12-31,11.06,-0.65
2069-12-31,11.002,-0.52
2070-12-31,10.944,-0.53
2071-12-31,10.885,-0.54
2072-12-31,10.827,-0.53
2073-12-31,10.769,-0.54
2074-12-31,10.716,-0.49
2075-12-31,10.663,-0.49
2076-12-31,10.611,-0.49
2077-12-31,10.558,-0.5
2078-12-31,10.505,-0.5
2079-12-31,10.461,-0.42
2080-12-31,10.417,-0.42
2081-12-31,10.373,-0.42
2082-12-31,10.329,-0.42
2083-12-31,10.285,-0.43
2084-12-31,10.244,-0.4
2085-12-31,10.204,-0.39
2086-12-31,10.163,-0.4
2087-12-31,10.123,-0.39
2088-12-31,10.082,-0.41
2089-12-31,10.041,-0.41
2090-12-31,10,-0.41
2091-12-31,9.958,-0.42
2092-12-31,9.917,-0.41
2093-12-31,9.876,-0.41
2094-12-31,9.843,-0.33
2095-12-31,9.81,-0.34
2096-12-31,9.776,-0.35
2097-12-31,9.743,-0.34
2098-12-31,9.71,-0.34
2099-12-31,9.677,-0.34
2100-12-31,9.644,-0.34
