date, Births per 1000 People, Annual % Change
1950-12-31,23.227
1951-12-31,22.484,-3.2
1952-12-31,21.741,-3.3
1953-12-31,20.998,-3.42
1954-12-31,20.255,-3.54
1955-12-31,19.512,-3.67
1956-12-31,18.769,-3.81
1957-12-31,18.026,-3.96
1958-12-31,17.283,-4.12
1959-12-31,16.445,-4.85
1960-12-31,15.606,-5.1
1961-12-31,14.768,-5.37
1962-12-31,13.929,-5.68
1963-12-31,13.091,-6.02
1964-12-31,13.362,2.07
1965-12-31,13.633,2.03
1966-12-31,13.904,1.99
1967-12-31,14.175,1.95
1968-12-31,14.446,1.91
1969-12-31,14.646,1.38
1970-12-31,14.846,1.37
1971-12-31,15.047,1.35
1972-12-31,15.247,1.33
1973-12-31,15.447,1.31
1974-12-31,15.728,1.82
1975-12-31,16.009,1.79
1976-12-31,16.291,1.76
1977-12-31,16.572,1.72
1978-12-31,16.853,1.7
1979-12-31,15.992,-5.11
1980-12-31,15.13,-5.39
1981-12-31,14.269,-5.69
1982-12-31,13.407,-6.04
1983-12-31,12.546,-6.42
1984-12-31,12.444,-0.81
1985-12-31,12.342,-0.82
1986-12-31,12.241,-0.82
1987-12-31,12.139,-0.83
1988-12-31,12.037,-0.84
1989-12-31,11.97,-0.56
1990-12-31,11.904,-0.55
1991-12-31,11.837,-0.56
1992-12-31,11.771,-0.56
1993-12-31,11.704,-0.57
1994-12-31,11.307,-3.39
1995-12-31,10.909,-3.52
1996-12-31,10.512,-3.64
1997-12-31,10.114,-3.79
1998-12-31,9.717,-3.93
1999-12-31,9.648,-0.71
2000-12-31,9.579,-0.72
2001-12-31,9.511,-0.71
2002-12-31,9.442,-0.73
2003-12-31,9.373,-0.73
2004-12-31,9.405,0.34
2005-12-31,9.437,0.34
2006-12-31,9.47,0.35
2007-12-31,9.502,0.34
2008-12-31,9.534,0.34
2009-12-31,9.443,-0.95
2010-12-31,9.353,-0.95
2011-12-31,9.262,-0.97
2012-12-31,9.172,-0.97
2013-12-31,9.081,-0.99
2014-12-31,9.163,0.9
2015-12-31,9.245,0.89
2016-12-31,9.327,0.89
2017-12-31,9.409,0.88
2018-12-31,9.491,0.87
2019-12-31,9.449,-0.44
2020-12-31,9.406,-0.46
2021-12-31,9.364,-0.45
2022-12-31,9.321,-0.46
2023-12-31,9.279,-0.45
2024-12-31,9.24,-0.42
2025-12-31,9.201,-0.42
2026-12-31,9.162,-0.42
2027-12-31,9.123,-0.43
2028-12-31,9.084,-0.43
2029-12-31,9.041,-0.47
2030-12-31,8.999,-0.46
2031-12-31,8.956,-0.48
2032-12-31,8.914,-0.47
2033-12-31,8.871,-0.48
2034-12-31,8.854,-0.19
2035-12-31,8.838,-0.18
2036-12-31,8.821,-0.19
2037-12-31,8.805,-0.18
2038-12-31,8.788,-0.19
2039-12-31,8.8,0.14
2040-12-31,8.813,0.15
2041-12-31,8.825,0.14
2042-12-31,8.838,0.15
2043-12-31,8.85,0.14
2044-12-31,8.872,0.25
2045-12-31,8.895,0.26
2046-12-31,8.917,0.25
2047-12-31,8.94,0.26
2048-12-31,8.962,0.25
2049-12-31,8.983,0.23
2050-12-31,9.003,0.22
2051-12-31,9.024,0.23
2052-12-31,9.044,0.22
2053-12-31,9.065,0.23
2054-12-31,9.077,0.13
2055-12-31,9.089,0.13
2056-12-31,9.101,0.13
2057-12-31,9.113,0.13
2058-12-31,9.125,0.13
2059-12-31,9.128,0.03
2060-12-31,9.131,0.03
2061-12-31,9.133,0.02
2062-12-31,9.136,0.03
2063-12-31,9.139,0.03
2064-12-31,9.14,0.01
2065-12-31,9.141,0.01
2066-12-31,9.141,0
2067-12-31,9.142,0.01
2068-12-31,9.143,0.01
2069-12-31,9.15,0.08
2070-12-31,9.157,0.08
2071-12-31,9.163,0.07
2072-12-31,9.17,0.08
2073-12-31,9.177,0.08
2074-12-31,9.192,0.16
2075-12-31,9.206,0.15
2076-12-31,9.221,0.16
2077-12-31,9.235,0.15
2078-12-31,9.25,0.16
2079-12-31,9.265,0.16
2080-12-31,9.28,0.16
2081-12-31,9.295,0.16
2082-12-31,9.31,0.16
2083-12-31,9.325,0.16
2084-12-31,9.334,0.1
2085-12-31,9.343,0.1
2086-12-31,9.351,0.09
2087-12-31,9.36,0.1
2088-12-31,9.369,0.1
2089-12-31,9.368,-0.01
2090-12-31,9.366,-0.02
2091-12-31,9.365,-0.01
2092-12-31,9.363,-0.02
2093-12-31,9.362,-0.01
2094-12-31,9.355,-0.07
2095-12-31,9.348,-0.07
2096-12-31,9.342,-0.06
2097-12-31,9.335,-0.07
2098-12-31,9.328,-0.07
2099-12-31,9.321,-0.08
2100-12-31,9.314,-0.08
