date, Births per 1000 People, Annual % Change
1950-12-31,31.228
1951-12-31,30.703,-1.68
1952-12-31,30.177,-1.71
1953-12-31,29.652,-1.74
1954-12-31,29.127,-1.77
1955-12-31,28.601,-1.81
1956-12-31,28.076,-1.84
1957-12-31,27.55,-1.87
1958-12-31,27.025,-1.91
1959-12-31,25.522,-5.56
1960-12-31,24.02,-5.89
1961-12-31,22.517,-6.26
1962-12-31,21.015,-6.67
1963-12-31,19.512,-7.15
1964-12-31,18.94,-2.93
1965-12-31,18.368,-3.02
1966-12-31,17.796,-3.11
1967-12-31,17.224,-3.21
1968-12-31,16.652,-3.32
1969-12-31,16.818,1
1970-12-31,16.984,0.99
1971-12-31,17.15,0.98
1972-12-31,17.316,0.97
1973-12-31,17.482,0.96
1974-12-31,17.767,1.63
1975-12-31,18.052,1.6
1976-12-31,18.338,1.58
1977-12-31,18.623,1.55
1978-12-31,18.908,1.53
1979-12-31,18.94,0.17
1980-12-31,18.971,0.16
1981-12-31,19.003,0.17
1982-12-31,19.034,0.16
1983-12-31,19.066,0.17
1984-12-31,18.472,-3.12
1985-12-31,17.879,-3.21
1986-12-31,17.285,-3.32
1987-12-31,16.692,-3.43
1988-12-31,16.098,-3.56
1989-12-31,15.614,-3.01
1990-12-31,15.13,-3.1
1991-12-31,14.647,-3.19
1992-12-31,14.163,-3.3
1993-12-31,13.679,-3.42
1994-12-31,13.106,-4.19
1995-12-31,12.533,-4.37
1996-12-31,11.961,-4.56
1997-12-31,11.388,-4.79
1998-12-31,10.815,-5.03
1999-12-31,10.533,-2.61
2000-12-31,10.251,-2.68
2001-12-31,9.969,-2.75
2002-12-31,9.687,-2.83
2003-12-31,9.405,-2.91
2004-12-31,9.624,2.33
2005-12-31,9.844,2.29
2006-12-31,10.063,2.22
2007-12-31,10.283,2.19
2008-12-31,10.502,2.13
2009-12-31,10.393,-1.04
2010-12-31,10.283,-1.06
2011-12-31,10.174,-1.06
2012-12-31,10.064,-1.08
2013-12-31,9.955,-1.08
2014-12-31,9.939,-0.16
2015-12-31,9.923,-0.16
2016-12-31,9.907,-0.16
2017-12-31,9.891,-0.16
2018-12-31,9.875,-0.16
2019-12-31,9.731,-1.46
2020-12-31,9.587,-1.48
2021-12-31,9.442,-1.51
2022-12-31,9.298,-1.53
2023-12-31,9.154,-1.55
2024-12-31,9.002,-1.66
2025-12-31,8.851,-1.68
2026-12-31,8.699,-1.72
2027-12-31,8.548,-1.74
2028-12-31,8.396,-1.78
2029-12-31,8.312,-1
2030-12-31,8.229,-1
2031-12-31,8.145,-1.02
2032-12-31,8.062,-1.02
2033-12-31,7.978,-1.04
2034-12-31,7.99,0.15
2035-12-31,8.003,0.16
2036-12-31,8.015,0.15
2037-12-31,8.028,0.16
2038-12-31,8.04,0.15
2039-12-31,8.093,0.66
2040-12-31,8.145,0.64
2041-12-31,8.198,0.65
2042-12-31,8.25,0.63
2043-12-31,8.303,0.64
2044-12-31,8.331,0.34
2045-12-31,8.36,0.35
2046-12-31,8.388,0.33
2047-12-31,8.417,0.35
2048-12-31,8.445,0.33
2049-12-31,8.424,-0.25
2050-12-31,8.402,-0.26
2051-12-31,8.381,-0.25
2052-12-31,8.359,-0.26
2053-12-31,8.338,-0.25
2054-12-31,8.285,-0.64
2055-12-31,8.232,-0.64
2056-12-31,8.178,-0.66
2057-12-31,8.125,-0.65
2058-12-31,8.072,-0.65
2059-12-31,8.038,-0.42
2060-12-31,8.003,-0.44
2061-12-31,7.969,-0.42
2062-12-31,7.934,-0.44
2063-12-31,7.9,-0.43
2064-12-31,7.907,0.09
2065-12-31,7.914,0.09
2066-12-31,7.92,0.08
2067-12-31,7.927,0.09
2068-12-31,7.934,0.09
2069-12-31,7.982,0.6
2070-12-31,8.031,0.61
2071-12-31,8.079,0.6
2072-12-31,8.128,0.61
2073-12-31,8.176,0.59
2074-12-31,8.228,0.64
2075-12-31,8.281,0.64
2076-12-31,8.333,0.63
2077-12-31,8.386,0.64
2078-12-31,8.438,0.62
2079-12-31,8.463,0.3
2080-12-31,8.488,0.3
2081-12-31,8.513,0.29
2082-12-31,8.538,0.29
2083-12-31,8.563,0.29
2084-12-31,8.551,-0.14
2085-12-31,8.54,-0.13
2086-12-31,8.528,-0.14
2087-12-31,8.517,-0.13
2088-12-31,8.505,-0.14
2089-12-31,8.477,-0.33
2090-12-31,8.449,-0.33
2091-12-31,8.421,-0.33
2092-12-31,8.393,-0.33
2093-12-31,8.365,-0.33
2094-12-31,8.355,-0.12
2095-12-31,8.345,-0.12
2096-12-31,8.334,-0.13
2097-12-31,8.324,-0.12
2098-12-31,8.314,-0.12
2099-12-31,8.304,-0.12
2100-12-31,8.294,-0.12
