date, Births per 1000 People, Annual % Change
1950-12-31,42.444
1951-12-31,42.319,-0.29
1952-12-31,42.194,-0.3
1953-12-31,42.069,-0.3
1954-12-31,41.944,-0.3
1955-12-31,41.819,-0.3
1956-12-31,41.694,-0.3
1957-12-31,41.569,-0.3
1958-12-31,41.444,-0.3
1959-12-31,41.27,-0.42
1960-12-31,41.096,-0.42
1961-12-31,40.923,-0.42
1962-12-31,40.749,-0.43
1963-12-31,40.575,-0.43
1964-12-31,40.282,-0.72
1965-12-31,39.989,-0.73
1966-12-31,39.696,-0.73
1967-12-31,39.403,-0.74
1968-12-31,39.11,-0.74
1969-12-31,38.871,-0.61
1970-12-31,38.631,-0.62
1971-12-31,38.392,-0.62
1972-12-31,38.152,-0.63
1973-12-31,37.913,-0.63
1974-12-31,37.529,-1.01
1975-12-31,37.146,-1.02
1976-12-31,36.762,-1.03
1977-12-31,36.379,-1.04
1978-12-31,35.995,-1.06
1979-12-31,35.976,-0.05
1980-12-31,35.957,-0.05
1981-12-31,35.937,-0.06
1982-12-31,35.918,-0.05
1983-12-31,35.899,-0.05
1984-12-31,35.324,-1.6
1985-12-31,34.75,-1.62
1986-12-31,34.175,-1.65
1987-12-31,33.601,-1.68
1988-12-31,33.026,-1.71
1989-12-31,31.915,-3.36
1990-12-31,30.803,-3.48
1991-12-31,29.692,-3.61
1992-12-31,28.58,-3.75
1993-12-31,27.469,-3.89
1994-12-31,26.727,-2.7
1995-12-31,25.986,-2.77
1996-12-31,25.244,-2.86
1997-12-31,24.503,-2.94
1998-12-31,23.761,-3.03
1999-12-31,23.539,-0.93
2000-12-31,23.317,-0.94
2001-12-31,23.096,-0.95
2002-12-31,22.874,-0.96
2003-12-31,22.652,-0.97
2004-12-31,22.829,0.78
2005-12-31,23.006,0.78
2006-12-31,23.183,0.77
2007-12-31,23.36,0.76
2008-12-31,23.537,0.76
2009-12-31,23.359,-0.76
2010-12-31,23.181,-0.76
2011-12-31,23.003,-0.77
2012-12-31,22.825,-0.77
2013-12-31,22.647,-0.78
2014-12-31,22.25,-1.75
2015-12-31,21.853,-1.78
2016-12-31,21.457,-1.81
2017-12-31,21.06,-1.85
2018-12-31,20.663,-1.89
2019-12-31,20.329,-1.62
2020-12-31,19.995,-1.64
2021-12-31,19.662,-1.67
2022-12-31,19.328,-1.7
2023-12-31,18.994,-1.73
2024-12-31,18.747,-1.3
2025-12-31,18.5,-1.32
2026-12-31,18.253,-1.34
2027-12-31,18.006,-1.35
2028-12-31,17.759,-1.37
2029-12-31,17.586,-0.97
2030-12-31,17.413,-0.98
2031-12-31,17.24,-0.99
2032-12-31,17.067,-1
2033-12-31,16.894,-1.01
2034-12-31,16.757,-0.81
2035-12-31,16.619,-0.82
2036-12-31,16.482,-0.82
2037-12-31,16.344,-0.84
2038-12-31,16.207,-0.84
2039-12-31,16.057,-0.93
2040-12-31,15.907,-0.93
2041-12-31,15.756,-0.95
2042-12-31,15.606,-0.95
2043-12-31,15.456,-0.96
2044-12-31,15.312,-0.93
2045-12-31,15.168,-0.94
2046-12-31,15.024,-0.95
2047-12-31,14.88,-0.96
2048-12-31,14.736,-0.97
2049-12-31,14.603,-0.9
2050-12-31,14.47,-0.91
2051-12-31,14.336,-0.93
2052-12-31,14.203,-0.93
2053-12-31,14.07,-0.94
2054-12-31,13.957,-0.8
2055-12-31,13.844,-0.81
2056-12-31,13.73,-0.82
2057-12-31,13.617,-0.82
2058-12-31,13.504,-0.83
2059-12-31,13.418,-0.64
2060-12-31,13.332,-0.64
2061-12-31,13.246,-0.65
2062-12-31,13.16,-0.65
2063-12-31,13.074,-0.65
2064-12-31,13.002,-0.55
2065-12-31,12.93,-0.55
2066-12-31,12.858,-0.56
2067-12-31,12.786,-0.56
2068-12-31,12.714,-0.56
2069-12-31,12.652,-0.49
2070-12-31,12.59,-0.49
2071-12-31,12.528,-0.49
2072-12-31,12.466,-0.49
2073-12-31,12.404,-0.5
2074-12-31,12.345,-0.48
2075-12-31,12.286,-0.48
2076-12-31,12.226,-0.49
2077-12-31,12.167,-0.48
2078-12-31,12.108,-0.48
2079-12-31,12.05,-0.48
2080-12-31,11.991,-0.49
2081-12-31,11.933,-0.48
2082-12-31,11.874,-0.49
2083-12-31,11.816,-0.49
2084-12-31,11.767,-0.41
2085-12-31,11.718,-0.42
2086-12-31,11.669,-0.42
2087-12-31,11.62,-0.42
2088-12-31,11.571,-0.42
2089-12-31,11.532,-0.34
2090-12-31,11.493,-0.34
2091-12-31,11.453,-0.35
2092-12-31,11.414,-0.34
2093-12-31,11.375,-0.34
2094-12-31,11.341,-0.3
2095-12-31,11.307,-0.3
2096-12-31,11.273,-0.3
2097-12-31,11.239,-0.3
2098-12-31,11.205,-0.3
2099-12-31,11.171,-0.3
2100-12-31,11.137,-0.3
